measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2008,679411.500226985,732984.8005067888,623734.9741572555
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2008,307699.1277279904,345248.29951433657,267663.6671824512
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2003,26465.053122152553,28700.052489084872,24160.966841245343
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2003,10272.44580947936,11677.048687370687,9033.869089522257
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2011,1493450.5067453787,1530452.8579840364,1453645.5760720507
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2011,516395.541795286,527007.3870482397,504720.31267379323
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2014,1053841.571739893,1089526.9040283137,1022918.643059087
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2014,360516.1963658352,375090.86477475025,352745.75500932796
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2013,830038.0989455798,840361.2967953684,820466.0643856635
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2013,209263.9810601927,212056.24387204673,205906.75992990297
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2010,678624.3120463388,734870.9632920376,623837.863570622
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2010,298004.57658498833,333619.468179145,258387.1077853799
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2013,1102867.097312854,1135131.2675089568,1079563.4182382638
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2013,372974.1983281787,386716.6800240703,364759.63440686837
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2015,871430.0179320605,879543.115700976,862432.7186414517
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2015,220796.8370969681,223797.91033619083,217614.48395188758
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2015,979633.2021774695,1009920.5717124415,954169.4353410519
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2015,338225.8330754974,349869.37299497804,330969.7030325093
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2004,27168.20939911488,29436.225876470344,24843.76598552695
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2004,10605.179488712374,12122.601599715248,9333.103151175676
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2005,30282.047678613733,32864.24728732215,27596.68416325
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2005,11774.946231772099,13473.231285796819,10323.73726301879
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2012,630095.6481706431,684763.403622941,579683.7092624034
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2012,277300.6364033128,311802.0455509318,240585.04311030995
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2017,757193.4799586226,771541.3739719961,746012.5313322368
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2017,192128.3511477866,195299.55384275338,188822.59302722022
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2017,842692.9664595377,865726.797146379,823479.2870590223
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2017,273582.24216061505,282000.06644729077,266350.54821589467
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2006,31256.08667746627,33897.7039803167,28459.447023557925
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2006,12609.379632212409,14385.898703324721,11117.770669168714
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2016,826769.1694917587,835652.1895407405,817144.318481872
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2016,208795.49057178546,211772.94920130252,205710.3065568984
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2016,936166.8877273056,956633.8904025763,914554.200434259
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2016,312183.4791135193,320506.02053604624,305173.62009936746
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2018,745935.9295180214,755723.783718492,736316.5168488743
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2018,188772.868258824,191651.13361319326,185752.79272463996
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2018,809799.7600945544,822992.6875842018,795655.2820132837
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2018,260087.4388665697,266354.41538803687,254090.53607511419
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2009,651554.5824311913,706312.5398199533,599109.5872529096
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2009,294177.74006741255,331022.37655051437,256267.39323503835
